t(secs),mass_residual
0.1287,0.29672
0.12885,0.297429
0.129,0.298132
0.12915,0.298828
0.1293,0.299516
0.12945,0.300198
0.1296,0.300873
0.12975,0.301541
0.1299,0.302201
0.13005,0.302854
0.1302,0.303501
0.13035,0.30414
0.1305,0.304771
0.13065,0.305396
0.1308,0.306013
0.13095,0.306622
0.1311,0.307224
0.13125,0.307818
0.1314,0.308405
0.13155,0.308984
0.1317,0.309555
0.13185,0.310119
0.132,0.310675
0.13215,0.311225
0.1323,0.311766
0.13245,0.312301
0.1326,0.312828
0.13275,0.313348
0.1329,0.31386
0.13305,0.314366
0.1332,0.314866
0.13335,0.315358
0.1335,0.315844
0.13365,0.316324
0.1338,0.316797
0.13395,0.317264
0.1341,0.317725
0.13425,0.31818
0.1344,0.31863
0.13455,0.319074
0.1347,0.319512
0.13485,0.319945
0.135,0.320373
0.13515,0.320796
0.1353,0.321214
0.13545,0.321627
0.1356,0.322036
0.13575,0.322442
0.1359,0.322843
0.13605,0.32324
0.1362,0.323634
0.13635,0.324023
0.1365,0.324408
0.13665,0.324789
0.1368,0.325167
0.13695,0.325542
0.1371,0.325914
0.13725,0.326284
0.1374,0.32665
0.13755,0.327015
0.1377,0.327377
0.13785,0.327736
0.138,0.328093
0.13815,0.328447
0.1383,0.328799
0.13845,0.329149
0.1386,0.329497
0.13875,0.329843
0.1389,0.330186
0.13905,0.330528
0.1392,0.330868
0.13935,0.331205
0.1395,0.33154
0.13965,0.331874
0.1398,0.332205
0.13995,0.332535
0.1401,0.332862
0.14025,0.333187
0.1404,0.33351
0.14055,0.333832
0.1407,0.334152
0.14085,0.33447
0.141,0.334787
0.14115,0.335102
0.1413,0.335415
0.14145,0.335727
0.1416,0.336037
0.14175,0.336345
0.1419,0.336652
0.14205,0.336956
0.1422,0.337259
0.14235,0.33756
0.1425,0.337858
0.14265,0.338155
0.1428,0.338448
0.14295,0.33874
0.1431,0.33903
0.14325,0.339317
0.1434,0.339602
0.14355,0.339886
0.1437,0.340167
0.14385,0.340448
0.144,0.340726
0.14415,0.341004
0.1443,0.34128
0.14445,0.341555
0.1446,0.341829
0.14475,0.342102
0.1449,0.342374
0.14505,0.342644
0.1452,0.342914
0.14535,0.343182
0.1455,0.343449
0.14565,0.343715
0.1458,0.34398
0.14595,0.344244
0.1461,0.344507
0.14625,0.344769
0.1464,0.34503
0.14655,0.345289
0.1467,0.345548
0.14685,0.345805
0.147,0.346062
0.14715,0.346317
0.1473,0.346571
0.14745,0.346824
0.1476,0.347075
0.14775,0.347326
0.1479,0.347574
0.14805,0.347821
0.1482,0.348067
0.14835,0.348311
0.1485,0.348554
0.14865,0.348796
0.1488,0.349036
0.14895,0.349275
0.1491,0.349512
0.14925,0.349748
0.1494,0.349984
0.14955,0.350219
0.1497,0.350452
0.14985,0.350685
0.15,0.350917
0.15015,0.351148
0.1503,0.351378
0.15045,0.351608
0.1506,0.351838
0.15075,0.352067
0.1509,0.352296
0.15105,0.352525
0.1512,0.352754
0.15135,0.352982
0.1515,0.353211
0.15165,0.353439
0.1518,0.353668
0.15195,0.353897
0.1521,0.354126
0.15225,0.354355
0.1524,0.354585
0.15255,0.354814
0.1527,0.355043
0.15285,0.355272
0.153,0.355501
0.15315,0.35573
0.1533,0.355959
0.15345,0.356188
0.1536,0.356417
0.15375,0.356646
0.1539,0.356875
0.15405,0.357105
0.1542,0.357334
0.15435,0.357564
0.1545,0.357793
0.15465,0.358022
0.1548,0.358251
0.15495,0.35848
0.1551,0.358709
0.15525,0.358937
0.1554,0.359165
0.15555,0.359393
0.1557,0.35962
0.15585,0.359847
0.156,0.360074
0.15615,0.360301
0.1563,0.360527
0.15645,0.360753
0.1566,0.360979
0.15675,0.361205
0.1569,0.36143
0.15705,0.361656
0.1572,0.36188
0.15735,0.362104
0.1575,0.362328
0.15765,0.362552
0.1578,0.362776
0.15795,0.363
0.1581,0.363223
0.15825,0.363445
0.1584,0.363669
0.15855,0.363891
0.1587,0.364114
0.15885,0.364336
0.159,0.364558
0.15915,0.36478
0.1593,0.365002
0.15945,0.365225
0.1596,0.365448
0.15975,0.365671
0.1599,0.365894
0.16005,0.366118
0.1602,0.366342
0.16035,0.366568
0.1605,0.366794
0.16065,0.367021
0.1608,0.367249
0.16095,0.367478
0.1611,0.367708
0.16125,0.367939
0.1614,0.368172
0.16155,0.368406
0.1617,0.368641
0.16185,0.368878
0.162,0.369116
0.16215,0.369355
0.1623,0.369596
0.16245,0.369838
0.1626,0.370083
0.16275,0.370329
0.1629,0.370577
0.16305,0.370826
0.1632,0.371078
0.16335,0.371331
0.1635,0.371587
0.16365,0.371843
0.1638,0.372102
0.16395,0.372362
0.1641,0.372624
0.16425,0.372886
0.1644,0.373151
0.16455,0.373417
0.1647,0.373684
0.16485,0.373953
0.165,0.374224
0.16515,0.374496
0.1653,0.374769
0.16545,0.375043
0.1656,0.375319
0.16575,0.375596
0.1659,0.375874
0.16605,0.376152
0.1662,0.376432
0.16635,0.376713
0.1665,0.376995
0.16665,0.377277
0.1668,0.377561
0.16695,0.377845
0.1671,0.37813
0.16725,0.378416
0.1674,0.378702
0.16755,0.378989
0.1677,0.379276
0.16785,0.379562
0.168,0.379849
0.16815,0.380135
0.1683,0.380421
0.16845,0.380706
0.1686,0.380991
0.16875,0.381275
0.1689,0.381559
0.16905,0.381842
0.1692,0.382123
0.16935,0.382404
0.1695,0.382683
0.16965,0.382962
0.1698,0.383239
0.16995,0.383514
0.1701,0.383788
0.17025,0.384061
0.1704,0.384332
0.17055,0.384602
0.1707,0.384871
0.17085,0.385138
0.171,0.385403
0.17115,0.385667
0.1713,0.385929
0.17145,0.38619
0.1716,0.386449
0.17175,0.386707
0.1719,0.386962
0.17205,0.387216
0.1722,0.387469
0.17235,0.38772
0.1725,0.387969
0.17265,0.388216
0.1728,0.388462
0.17295,0.388707
0.1731,0.388949
0.17325,0.38919
0.1734,0.38943
0.17355,0.389668
0.1737,0.389904
0.17385,0.390138
0.174,0.390371
0.17415,0.390602
0.1743,0.390832
0.17445,0.39106
0.1746,0.391287
0.17475,0.391511
